"","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate","Date"
"1","Alabama","US","2020-07-02 04:33:59","32.3182","-86.9023","39647","972","18866","19124","1","794.626350015347","413953","2803","2.49473846311791","84000001","USA","8442.53276186805","7.19418920999949","2020-07-1"
"2","Alaska","US","2020-07-02 04:33:59","61.3707","-152.4044","975","14","528","433","2","133.279565850358","114400",NA,"1.43589743589744","84000002","USA","15638.135726442",NA,"2020-07-1"
"3","American Samoa","US","2020-07-02 04:33:59","-14.271","-170.132","0","0",NA,"0","60","0","696",NA,NA,"16","ASM","1250.87615247749",NA,"2020-07-1"
"4","Arizona","US","2020-07-02 04:33:59","33.7298","-111.4312","84105","1725","9715","72665","4","1155.49210114914","549596","4837","2.0510076689852","84000004","USA","7550.72631619006","5.7511444028298","2020-07-1"
"5","Arkansas","US","2020-07-02 04:33:59","34.9697","-92.3731","21197","277","15163","5757","5","702.398167674243","314858","1448","1.30678869651366","84000005","USA","10433.3482227474","6.83115535217248","2020-07-1"
"6","California","US","2020-07-02 04:33:59","36.1162","-119.6816","247317","6169",NA,"232512","6","604.068771326787","4254176",NA,"2.58462131464172","84000006","USA","10766.734131866",NA,"2020-07-1"
"7","Colorado","US","2020-07-02 04:33:59","39.0598","-105.3111","33029","1697","4502","26813","8","573.25079670261","327503","5489","5.14055494971525","84000008","USA","5687.06396681494","16.6272870471344","2020-07-1"
"8","Connecticut","US","2020-07-02 04:33:59","41.5978","-72.7554","46572","4324","8053","34195","9","1306.26230090313","477841","10268","9.28454865584471","84000009","USA","13402.5956395656","22.0475822382547","2020-07-1"
"9","Delaware","US","2020-07-02 04:33:59","39.3185","-75.5071","11510","567","6676","4325","10","1182.01124707835","111384",NA,"4.42224152910513","84000010","USA","11438.5004990942",NA,"2020-07-1"
"10","Diamond Princess","US","2020-07-02 04:33:59",NA,NA,"49","0",NA,"49","88888",NA,NA,NA,"0","84088888","USA",NA,NA,"2020-07-1"
"11","District of Columbia","US","2020-07-02 04:33:59","38.8974","-77.0268","10365","553","1451","8361","11","1468.6524529259","100035",NA,"5.33526290400386","84000011","USA","14174.3027620301",NA,"2020-07-1"
"12","Florida","US","2020-07-02 04:33:59","27.7663","-81.6868","158997","3550",NA,"155447","12","740.287489319755","1980354","15125","2.23274652980874","84000012","USA","9220.49655417608","9.51275810235413","2020-07-1"
"13","Georgia","US","2020-07-02 04:33:59","33.0406","-83.6431","84242","2827",NA,"81415","13","793.431701835747","855038","11275","3.35580826666034","84000013","USA","8053.15941542501","13.3840602074974","2020-07-1"
"14","Grand Princess","US","2020-07-02 04:33:59",NA,NA,"103","3",NA,"100","99999",NA,NA,NA,"2.9126213592233","84099999","USA",NA,NA,"2020-07-1"
"15","Guam","US","2020-07-02 04:33:59","13.4443","144.7937","267","5","179","83","66","162.577863836472","13784",NA,"1.87265917602996","316","GUM","8393.15833379001",NA,"2020-07-1"
"16","Hawaii","US","2020-07-02 04:33:59","21.0943","-157.4983","926","18","736","172","15","65.4013922162455","79058","113","1.9438444924406","84000015","USA","5583.69683135199","12.2030237580994","2020-07-1"
"17","Idaho","US","2020-07-02 04:33:59","44.2405","-114.4788","6370","92","4233","2045","16","356.450380931863","91040","330","1.44427001569859","84000016","USA","5094.38660597124","5.18053375196232","2020-07-1"
"18","Illinois","US","2020-07-02 04:33:59","40.3495","-88.9861","144013","6951",NA,"137062","17","1136.48227827713","1637108",NA,"4.8266475943144","84000017","USA","12919.2797152043",NA,"2020-07-1"
"19","Indiana","US","2020-07-02 04:33:59","39.8494","-86.2583","45952","2581","35025","8277","18","682.568407236901","489716","7095","5.76688718662953","84000018","USA","7274.21374735433","15.4400243732591","2020-07-1"
"20","Iowa","US","2020-07-02 04:33:59","42.0115","-93.2105","29514","717","23607","5190","19","935.446757124248","309790",NA,"2.42935556007319","84000019","USA","9818.79958289357",NA,"2020-07-1"
"21","Kansas","US","2020-07-02 04:33:59","38.5266","-96.7265","14830","277","834","13719","20","509.042279685609","183173","1152","1.86783546864464","84000020","USA","6287.4444704553","7.76803776129467","2020-07-1"
"22","Kentucky","US","2020-07-02 04:33:59","37.6681","-84.6701","15842","572","4052","11218","21","354.591752798381","377090","2635","3.61065522030047","84000021","USA","8440.41182065026","16.6330008837268","2020-07-1"
"23","Louisiana","US","2020-07-02 04:33:59","31.1695","-91.8678","60178","3238","43026","13914","22","1294.48626891189","752088",NA,"5.38070391172854","84000022","USA","16178.1313605206",NA,"2020-07-1"
"24","Maine","US","2020-07-02 04:33:59","44.6939","-69.3819","3294","105","2671","518","23","245.050631894374","97241","351","3.18761384335155","84000023","USA","7234.05236673977","10.655737704918","2020-07-1"
"25","Maryland","US","2020-07-02 04:33:59","39.0639","-76.8021","67918","3205","5001","59712","24","1123.41374336716","542604","10902","4.7189257634206","84000024","USA","8975.06980190814","16.0517094142937","2020-07-1"
"26","Massachusetts","US","2020-07-02 04:33:59","42.2302","-71.5301","108882","8053",NA,"100829","25","1579.71639620614","858435","11352","7.3960801601734","84000025","USA","12454.6191710036","10.4259657243622","2020-07-1"
"27","Michigan","US","2020-07-02 04:33:59","43.3266","-84.5361","71089","6198","51099","13792","26","711.825552323419","1061859",NA,"8.7186484547539","84000026","USA","10632.5643793638",NA,"2020-07-1"
"28","Minnesota","US","2020-07-02 04:33:59","45.6945","-93.9002","36716","1482","31947","3287","27","651.035386706083","617107","4081","4.03638740603552","84000027","USA","10942.3274426416","11.1150452118967","2020-07-1"
"29","Mississippi","US","2020-07-02 04:33:59","32.7416","-89.6787","27900","1082","19388","7430","28","937.453064345905","293752","3177","3.87813620071685","84000028","USA","9870.20475117341","11.3870967741935","2020-07-1"
"30","Missouri","US","2020-07-02 04:33:59","38.4561","-92.2884","21404","1018",NA,"20017","29","342.73314489392","389740",NA,"4.83955312574281","84000029","USA","6350.21706160952",NA,"2020-07-1"
"31","Montana","US","2020-07-02 04:33:59","46.9219","-110.4544","1016","22","658","336","30","95.0618369764348","93330","105","2.16535433070866","84000030","USA","8732.40280020734","10.3346456692913","2020-07-1"
"32","Nebraska","US","2020-07-02 04:33:59","41.1254","-98.2681","19310","276","13737","5297","31","998.238220685605","180608","1330","1.42931123770067","84000031","USA","9336.60323985426","6.88762299326774","2020-07-1"
"33","Nevada","US","2020-07-02 04:33:59","38.3135","-117.0554","19101","511","714","17876","32","620.130928433495","284096",NA,"2.67525260457568","84000032","USA","9223.42894320937",NA,"2020-07-1"
"34","New Hampshire","US","2020-07-02 04:33:59","43.4525","-71.5639","5802","373","4463","966","33","426.708322577371","119169","565","6.42881764908652","84000033","USA","8764.28888197566","9.73802137194071","2020-07-1"
"35","New Jersey","US","2020-07-02 04:33:59","40.2989","-74.521","172934","15078","30300","126550","34","1935.6487532917","1442937","20054","8.76995021171653","84000034","USA","16245.2841022315","11.6641850076776","2020-07-1"
"36","New Mexico","US","2020-07-02 04:33:59","34.8405","-106.2485","12276","500","5393","6383","35","585.45546632558","344181","1902","4.07298794395569","84000035","USA","16414.3571078042","15.4936461388074","2020-07-1"
"37","New York","US","2020-07-02 04:33:59","42.1657","-74.9481","394079","32043","70590","291446","36","2025.74222786255","3971648","89995","8.13111076713045","84000036","USA","20416.0461932908","22.8367916077741","2020-07-1"
"38","North Carolina","US","2020-07-02 04:33:59","35.6301","-79.8064","66751","1398","45538","19815","37","636.446084909312","942238",NA,"2.09435064643226","84000037","USA","8983.89067059341",NA,"2020-07-1"
"39","North Dakota","US","2020-07-02 04:33:59","47.5289","-99.784","3615","80","3210","325","38","474.370851715477","107226","234","2.21300138312586","84000038","USA","14070.5086987673","6.47302904564315","2020-07-1"
"40","Northern Mariana Islands","US","2020-07-02 04:33:59","15.0979","145.6739","30","2","19","9","69","54.4030175540403","8217",NA,"6.66666666666667","580","MNP","14900.9865080516",NA,"2020-07-1"
"41","Ohio","US","2020-07-02 04:33:59","40.3888","-82.7649","52865","2957",NA,"49989","39","452.25894209135","792005","7911","5.44027239194174","84000039","USA","6775.58580215757","14.9645322992528","2020-07-1"
"42","Oklahoma","US","2020-07-02 04:33:59","35.5653","-96.9289","14119","389","10605","3125","40","356.813330196254","346313","1553","2.75515263120618","84000040","USA","8751.9721524368","10.9993625610879","2020-07-1"
"43","Oregon","US","2020-07-02 04:33:59","44.572","-122.0709","8931","208","2722","6001","41","211.748622543321","243360","1055","2.32896652110626","84000041","USA","5769.91879768701","11.8127869219572","2020-07-1"
"44","Pennsylvania","US","2020-07-02 04:33:59","40.5908","-77.2098","91775","6684","68048","17043","42","716.880790945844","776804",NA,"7.28302914737129","84000042","USA","6067.83836480409",NA,"2020-07-1"
"45","Puerto Rico","US","2020-07-02 04:33:59","18.2208","-66.5901","7537","153",NA,"7384","72","256.936641612759","7537",NA,"2.02998540533369","630","PRI","256.936641612759",NA,"2020-07-1"
"46","Rhode Island","US","2020-07-02 04:33:59","41.6809","-71.5118","16853","1","1638","14259","44","1590.86468163355","244215","2007","5.67258054945707","84000044","USA","23053.0480166818","11.9088589568623","2020-07-1"
"47","South Carolina","US","2020-07-02 04:33:59","33.8569","-80.945","37919","766","15471","21682","45","736.475166420197","389872","2854","2.0200954666526","84000045","USA","7572.22094682284","7.52656979350721","2020-07-1"
"48","South Dakota","US","2020-07-02 04:33:59","44.2998","-99.4388","6826","93","5933","800","46","771.596739534668","80943","674","1.36243773806036","84000046","USA","9149.62714447036","9.8740111338998","2020-07-1"
"49","Tennessee","US","2020-07-02 04:33:59","35.7478","-86.6923","45315","609","28283","16423","47","663.550233161434","817886","2715","1.34392585236677","84000047","USA","11976.3532163626","5.99139357828534","2020-07-1"
"50","Texas","US","2020-07-02 04:33:59","31.0545","-97.5635","172859","2649","87556","82309","48","594.456847163913","1921948",NA,"1.45212568458182","84000048","USA","6628.34835058124",NA,"2020-07-1"
"51","Utah","US","2020-07-02 04:33:59","40.15","-111.8624","22716","173","12707","9836","49","708.555757748542","343358","1476","0.76157774256031","84000049","USA","10709.9968246621","6.49762282091918","2020-07-1"
"52","Vermont","US","2020-07-02 04:33:59","44.0459","-72.7107","1210","56","961","193","50","193.913674760292","66292",NA,"4.62809917355372","84000050","USA","10623.9052290986",NA,"2020-07-1"
"53","Virgin Islands","US","2020-07-02 04:33:59","18.3358","-64.8963","90","6","73","11","78","83.9020024611254","2966",NA,"6.66666666666667","850","VIR","2765.03710332998",NA,"2020-07-1"
"54","Virginia","US","2020-07-02 04:33:59","37.7693","-78.17","63203","1786","8131","53286","51","740.470497458913","658633","9023","2.8258152302897","84000051","USA","7716.37905088138","14.2762210654558","2020-07-1"
"55","Washington","US","2020-07-02 04:33:59","47.4009","-121.4905","34152","1309",NA,"32096","53","439.073799198492","557275","4361","4.00478540451623","84000053","USA","7318.22495733033","13.0432181845372","2020-07-1"
"56","West Virginia","US","2020-07-02 04:33:59","38.4912","-80.9545","2979","93","2284","602","54","166.225203624479","173352",NA,"3.12185297079557","84000054","USA","9672.86723689519",NA,"2020-07-1"
"57","Wisconsin","US","2020-07-02 04:33:59","44.2685","-89.6165","29199","786","23089","5324","55","501.491300717191","583832","3482","2.69187300934964","84000055","USA","10027.2841220699","11.9250659269153","2020-07-1"
"58","Wyoming","US","2020-07-02 04:33:59","42.756","-107.3025","1514","20","1119","375","56","261.594204150605","33699","117","1.32100396301189","84000056","USA","5822.63083597836","7.72787318361955","2020-07-1"
"59","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","Total_Test_Results","People_Hospitalized","Case_Fatality_Ratio","UID","ISO3","Testing_Rate","Hospitalization_Rate","01-01-2021"
"60","Alabama","US","2021-01-02 05:30:44","32.3182","-86.9023","365747","4872","202137.0","158738.0","1.0","7459.375895463867","1885216.0","","1.3320683423240656","84000001.0","USA","38448.80419564018","","01-01-2021"
"61","Alaska","US","2021-01-02 05:30:44","61.3707","-152.4044","46986","206","7165.0","39615.0","2.0","6422.844801071706","1275750.0","","0.4384284680543141","84000002.0","USA","174391.1857780451","","01-01-2021"
"62","American Samoa","US","2021-01-02 05:30:44","-14.271","-170.132","0","0","","0.0","60.0","0.0","2140.0","","","16.0","ASM","3846.084721698028","","01-01-2021"
"63","Arizona","US","2021-01-02 05:30:44","33.7298","-111.4312","530267","9015","76934.0","444318.0","4.0","7285.171274003372","2878868.0","","1.7000869373353424","84000004.0","USA","39551.860582022906","","01-01-2021"
"64","Arkansas","US","2021-01-02 05:30:44","34.9697","-92.3731","229442","3711","199247.0","26484.0","5.0","7602.945718144717","2051488.0","","1.6174022192972517","84000005.0","USA","67979.49767446793","","01-01-2021"
"65","California","US","2021-01-02 05:30:44","36.1162","-119.6816","2365024","26363","","2309915.0","6.0","5912.603297465698","33058311.0","","1.1251600354592777","84000006.0","USA","83666.03670970372","","01-01-2021"
"66","Colorado","US","2021-01-02 05:30:44","39.0598","-105.3111","337161","4873","18102.0","314186.0","8.0","5854.774381044729","4444206.0","","1.4453035790023163","84000008.0","USA","77173.28941628858","","01-01-2021"
"67","Connecticut","US","2021-01-02 05:30:44","41.5978","-72.7554","185708","5995","9800.0","169913.0","9.0","5208.781228551867","4320693.0","","3.2281861847631768","84000009.0","USA","121187.80339422885","","01-01-2021"
"68","Delaware","US","2021-01-02 05:30:44","39.3185","-75.5071","58064","1065","18851.0","38283.0","10.0","5962.841099075341","984606.0","","1.6016809038302562","84000010.0","USA","101113.41146314713","","01-01-2021"
"69","Diamond Princess","US","2021-01-02 05:30:44","","","49","0","","49.0","88888.0","","","","0.0","84088888.0","USA","","","01-01-2021"
"70","District of Columbia","US","2021-01-02 05:30:44","38.8974","-77.0268","29252","788","20941.0","7523.0","11.0","4144.816358223675","904302.0","","2.6938329003145083","84000011.0","USA","128133.65658328953","","01-01-2021"
"71","Florida","US","2021-01-02 05:30:44","27.7663","-81.6868","1323315","21673","","1301642.0","12.0","6161.333477544677","15703599.0","","1.6377808760574768","84000012.0","USA","73115.70581202293","","01-01-2021"
"72","Georgia","US","2021-01-02 05:30:44","33.0406","-83.6431","677589","10958","","666631.0","13.0","6381.859326881861","5401054.0","","1.6172045295894708","84000013.0","USA","50869.726109621886","","01-01-2021"
"73","Grand Princess","US","2021-01-02 05:30:44","","","103","3","","100.0","99999.0","","","","2.9126213592233015","84099999.0","USA","","","01-01-2021"
"74","Guam","US","2021-01-02 05:30:44","13.4443","144.7937","7326","122","7047.0","157.0","66.0","4460.844308861407","96201.0","","1.6653016653016652","316.0","GUM","58577.35235555231","","01-01-2021"
"75","Hawaii","US","2021-01-02 05:30:44","21.0943","-157.4983","22022","289","11958.0","9775.0","15.0","1555.366586810107","816811.0","","1.3123240395967668","84000015.0","USA","57689.60753514442","","01-01-2021"
"76","Idaho","US","2021-01-02 05:30:44","44.2405","-114.4788","141077","1436","58649.0","80992.0","16.0","7894.34072067888","545485.0","","1.0178838506631132","84000016.0","USA","30524.071592247623","","01-01-2021"
"77","Illinois","US","2021-01-02 05:30:44","40.3495","-88.9861","963389","17978","","945411.0","17.0","7602.6089699341555","13374665.0","","1.866120539055356","84000017.0","USA","105546.51142878359","","01-01-2021"
"78","Indiana","US","2021-01-02 05:30:44","39.8494","-86.2583","517773","9468","345474.0","163928.0","18.0","7690.970837401457","5730043.0","","1.6167316565367449","84000018.0","USA","85113.7344165423","","01-01-2021"
"79","Iowa","US","2021-01-02 05:30:44","42.0115","-93.2105","282980","3898","241229.0","37853.0","19.0","8969.056154063142","1174406.0","","1.3774825075977102","84000019.0","USA","37222.81914505859","","01-01-2021"
"80","Kansas","US","2021-01-02 05:30:44","38.5266","-96.7265","230108","2872","4612.0","222819.0","20.0","7905.189759840511","1012506.0","","1.2470527956648416","84000020.0","USA","34754.441162195355","","01-01-2021"
"81","Kentucky","US","2021-01-02 05:30:44","37.6681","-84.6701","265261","2623","36740.0","225898.0","21.0","5937.341430315066","3148606.0","","0.9888374091932096","84000021.0","USA","70475.30112432133","","01-01-2021"
"82","Louisiana","US","2021-01-02 05:30:44","31.1695","-91.8678","315275","7488","263712.0","44075.0","22.0","6781.866436757577","4214182.0","","2.375069383871224","84000022.0","USA","90651.08068888405","","01-01-2021"
"83","Maine","US","2021-01-02 05:30:44","44.6939","-69.3819","24902","352","11374.0","13176.0","23.0","1852.535165584","1111413.0","","1.4135410810376676","84000023.0","USA","82681.37763983657","","01-01-2021"
"84","Maryland","US","2021-01-02 05:30:44","39.0639","-76.8021","280219","5942","9358.0","264919.0","24.0","4635.028648555663","5761534.0","","2.1204843354661893","84000024.0","USA","95300.01587910707","","01-01-2021"
"85","Massachusetts","US","2021-01-02 05:30:44","42.2302","-71.5301","375178","12423","261672.0","101083.0","25.0","5443.276557152025","10944699.0","","3.3112282703143574","84000025.0","USA","158791.3563476142","","01-01-2021"
"86","Michigan","US","2021-01-02 05:30:44","43.3266","-84.5361","528621","13018","318389.0","197214.0","26.0","5293.166809137249","8113075.0","","2.4626339097387357","84000026.0","USA","81237.52047315787","","01-01-2021"
"87","Minnesota","US","2021-01-02 05:30:44","45.6945","-93.9002","415302","5382","397080.0","12840.0","27.0","7363.9911256621","5351379.0","","1.2959244116329804","84000027.0","USA","94888.79770878667","","01-01-2021"
"88","Mississippi","US","2021-01-02 05:30:44","32.7416","-89.6787","218386","4816","167263.0","46307.0","28.0","7337.871860582249","1346044.0","","2.2052695685620867","84000028.0","USA","45227.70869334835","","01-01-2021"
"89","Missouri","US","2021-01-02 05:30:44","38.4561","-92.2884","408006","5717","397080.0","4684.0","29.0","6639.214341903481","3665980.0","","1.402042323861224","84000029.0","USA","59731.53575080637","","01-01-2021"
"90","Montana","US","2021-01-02 05:30:44","46.9219","-110.4544","81555","961","74991.0","5603.0","30.0","7630.677278162537","791589.0","","1.1783459015388391","84000030.0","USA","74064.86660466438","","01-01-2021"
"91","Nebraska","US","2021-01-02 05:30:44","41.1254","-98.2681","167716","1668","107694.0","58354.0","31.0","8670.146111885393","1755820.0","","0.994538386319731","84000031.0","USA","90767.82147302947","","01-01-2021"
"92","Nevada","US","2021-01-02 05:30:44","38.3135","-117.0554","227046","3143","","223903.0","32.0","7371.250027596005","2095778.0","","1.3843009786563076","84000032.0","USA","68041.29401238119","","01-01-2021"
"93","New Hampshire","US","2021-01-02 05:30:44","43.4525","-71.5639","45932","759","37350.0","5919.0","33.0","3238.0410248942608","1032929.0","","1.7239029708367402","84000033.0","USA","75966.80471070691","","01-01-2021"
"94","New Jersey","US","2021-01-02 05:30:44","40.2989","-74.521","535043","19160","56109.0","407592.0","34.0","5436.2831689031655","7792714.0","","3.968015640111751","84000034.0","USA","87734.15114966016","","01-01-2021"
"95","New Mexico","US","2021-01-02 05:30:44","34.8405","-106.2485","144142","2502","66638.0","75002.0","35.0","6874.284932152312","1983507.0","","1.7357883198512578","84000035.0","USA","94595.55357160741","","01-01-2021"
"96","New York","US","2021-01-02 05:30:44","42.1657","-74.9481","995816","38155","102968.0","854693.0","36.0","5118.939406517912","25504313.0","","3.8315311262321554","84000036.0","USA","131103.5701895401","","01-01-2021"
"97","North Carolina","US","2021-01-02 05:30:44","35.6301","-79.8064","539545","6748","403488.0","129309.0","37.0","5144.3619254002915","6944103.0","","1.2506834462371073","84000037.0","USA","66209.45255587198","","01-01-2021"
"98","North Dakota","US","2021-01-02 05:30:44","47.5289","-99.784","92770","1316","89314.0","2147.0","38.0","12173.550183580865","1277930.0","","1.4110164924005606","84000038.0","USA","167693.70471169017","","01-01-2021"
"99","Northern Mariana Islands","US","2021-01-02 05:30:44","15.0979","145.6739","122","2","29.0","91.0","69.0","221.2389380530973","17551.0","","1.639344262295082","580.0","MNP","31827.57870303206","","01-01-2021"
"100","Ohio","US","2021-01-02 05:30:44","40.3888","-82.7649","700380","14602","556106.0","135312.0","39.0","5991.735890701594","7752314.0","","1.279591079128473","84000039.0","USA","66320.88013619526","","01-01-2021"
"101","Oklahoma","US","2021-01-02 05:30:44","35.5653","-96.9289","290936","2489","255843.0","32604.0","40.0","7352.492601032456","2685254.0","","0.8555146148981221","84000040.0","USA","67861.35152367808","","01-01-2021"
"102","Oregon","US","2021-01-02 05:30:44","44.572","-122.0709","113909","1477","5870.0","106562.0","41.0","2700.713676552142","2652670.0","","1.2966490795283954","84000041.0","USA","62893.20552703974","","01-01-2021"
"103","Pennsylvania","US","2021-01-02 05:30:44","40.5908","-77.2098","652091","16155","429017.0","206919.0","42.0","5093.669429023879","3923244.0","","2.477414962022172","84000042.0","USA","30645.581713903983","","01-01-2021"
"104","Puerto Rico","US","2021-01-02 05:30:44","18.2208","-66.5901","77054","1521","66930.0","8603.0","72.0","2412.69201119456","383026.0","","1.973940353518312","630.0","PRI","11993.196593036153","","01-01-2021"
"105","Rhode Island","US","2021-01-02 05:30:44","41.6809","-71.5118","87949","1944","5381.0","80791.0","44.0","8302.080216281325","1974498.0","","2.020489147119353","84000044.0","USA","186385.75518638126","","01-01-2021"
"106","South Carolina","US","2021-01-02 05:30:44","33.8569","-80.945","307507","5296","151084.0","151127.0","45.0","5972.501094448051","3173021.0","","1.7222372173641576","84000045.0","USA","61627.44716447641","","01-01-2021"
"107","South Dakota","US","2021-01-02 05:30:44","44.2998","-99.4388","99164","1488","91980.0","5696.0","46.0","11209.290811487816","372640.0","","1.5005445524585534","84000046.0","USA","42122.444919454836","","01-01-2021"
"108","Tennessee","US","2021-01-02 05:30:44","35.7478","-86.6923","586802","6907","508914.0","70981.0","47.0","8592.576496074049","5644058.0","","1.1770580195704854","84000047.0","USA","82646.27610894085","","01-01-2021"
"109","Texas","US","2021-01-02 05:30:44","31.0545","-97.5635","1782956","28359","1435164.0","316178.0","48.0","6137.40620607458","13848790.0","","1.5876084165217368","84000048.0","USA","47761.232017747614","","01-01-2021"
"110","Utah","US","2021-01-02 05:30:44","40.15","-111.8624","276612","1269","224439.0","50904.0","49.0","8628.060629615236","2245303.0","","0.4587653464057959","84000049.0","USA","70035.32173534401","","01-01-2021"
"111","Vermont","US","2021-01-02 05:30:44","44.0459","-72.7107","7412","136","4959.0","2317.0","50.0","1187.8414523332942","697705.0","","1.834862385321101","84000050.0","USA","111813.66979225595","","01-01-2021"
"112","Virgin Islands","US","2021-01-02 05:30:44","18.3358","-64.8963","2036","23","1901.0","112.0","78.0","1898.0497445650146","36212.0","","1.1296660117878192","850.0","VIR","33758.4368124697","","01-01-2021"
"113","Virginia","US","2021-01-02 05:30:44","37.7693","-78.17","354766","5081","30964.0","318721.0","51.0","4156.349485016671","4291320.0","","1.4322116550063986","84000051.0","USA","50276.02890931413","","01-01-2021"
"114","Washington","US","2021-01-02 05:30:44","47.4009","-121.4905","246752","3461","","243291.0","53.0","3240.3869627583736","3836820.0","","1.402622876410323","84000053.0","USA","50385.73752776303","","01-01-2021"
"115","West Virginia","US","2021-01-02 05:30:44","38.4912","-80.9545","87820","1361","60316.0","26143.0","54.0","4900.2676677750205","1535487.0","","1.5497608745160556","84000054.0","USA","85678.63015701277","","01-01-2021"
"116","Wisconsin","US","2021-01-02 05:30:44","44.2685","-89.6165","522523","5254","450358.0","66911.0","55.0","8974.3052475992","5380828.0","","1.0055059777272959","84000055.0","USA","92415.44000327012","","01-01-2021"
"117","Wyoming","US","2021-01-02 05:30:44","42.756","-107.3025","44409","438","42570.0","1401.0","56.0","7673.142015934093","501784.0","","0.9862865635344188","84000056.0","USA","86699.99084247503","","01-01-2021"
"118","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","Total_Test_Results","People_Hospitalized","Case_Fatality_Ratio","UID","ISO3","Testing_Rate","Hospitalization_Rate","01-02-2021"
"119","Alabama","US","2021-01-03 05:30:33","32.3182","-86.9023","369458","4872","202137.0","162449.0","1.0","7535.061393767521","1891468.0","","1.3186884571453321","84000001.0","USA","38576.31315155353","","01-02-2021"
"120","Alaska","US","2021-01-03 05:30:33","61.3707","-152.4044","47801","215","7165.0","40421.0","2.0","6534.252848423543","1290349.0","","0.4497813853266668","84000002.0","USA","176386.82514404444","","01-02-2021"
"121","American Samoa","US","2021-01-03 05:30:33","-14.271","-170.132","0","0","","0.0","60.0","0.0","2140.0","","","16.0","ASM","3846.084721698028","","01-02-2021"
"122","Arizona","US","2021-01-03 05:30:33","33.7298","-111.4312","539150","9061","77867.0","452222.0","4.0","7407.212012776427","2905383.0","","1.6806083650190111","84000004.0","USA","39916.14181455331","","01-02-2021"
"123","Arkansas","US","2021-01-03 05:30:33","34.9697","-92.3731","231442","3729","203701.0","24012.0","5.0","7669.219074532342","2079788.0","","1.6112028067507194","84000005.0","USA","68917.26566735281","","01-02-2021"
"124","California","US","2021-01-03 05:30:33","36.1162","-119.6816","2415246","26551","","2362015.0","6.0","6045.109129901398","33391442.0","","1.1112148464533191","84000006.0","USA","84509.14543583133","","01-02-2021"
"125","Colorado","US","2021-01-03 05:30:33","39.0598","-105.3111","339172","4912","18217.0","316043.0","8.0","5889.6952386773755","4474747.0","","1.4482327550623282","84000008.0","USA","77703.63149135505","","01-02-2021"
"126","Connecticut","US","2021-01-03 05:30:33","41.5978","-72.7554","190120","6099","9800.0","174221.0","9.0","5332.530031944132","4383361.0","","3.20797391121397","84000009.0","USA","122945.5300512974","","01-02-2021"
"127","Delaware","US","2021-01-03 05:30:33","39.3185","-75.5071","58873","1072","18851.0","39092.0","10.0","6045.920777518988","991318.0","","1.5796714962716356","84000010.0","USA","101802.69551965363","","01-02-2021"
"128","Diamond Princess","US","2021-01-03 05:30:33","","","49","0","","49.0","88888.0","","","","0.0","84088888.0","USA","","","01-02-2021"
"129","District of Columbia","US","2021-01-03 05:30:33","38.8974","-77.0268","29509","792","21002.0","7715.0","11.0","4181.231570997621","911378.0","","2.683926937544478","84000011.0","USA","129136.27932876984","","01-02-2021"
"130","Florida","US","2021-01-03 05:30:33","27.7663","-81.6868","1354833","21890","","1332943.0","12.0","6308.080781508778","15950750.0","","1.615697285200464","84000012.0","USA","74266.43691558379","","01-02-2021"
"131","Georgia","US","2021-01-03 05:30:33","33.0406","-83.6431","685122","10960","","674162.0","13.0","6452.808746529172","5436988.0","","1.5997150872399368","84000013.0","USA","51208.16981672483","","01-02-2021"
"132","Grand Princess","US","2021-01-03 05:30:33","","","103","3","","100.0","99999.0","","","","2.9126213592233015","84099999.0","USA","","","01-02-2021"
"133","Guam","US","2021-01-03 05:30:33","13.4443","144.7937","7326","122","7047.0","157.0","66.0","4460.844308861407","96201.0","","1.6653016653016652","316.0","GUM","58577.35235555231","","01-02-2021"
"134","Hawaii","US","2021-01-03 05:30:33","21.0943","-157.4983","22181","289","11958.0","9934.0","15.0","1566.596415495186","822805.0","","1.3029169108696632","84000015.0","USA","58112.95088821589","","01-02-2021"
"135","Idaho","US","2021-01-03 05:30:33","44.2405","-114.4788","142199","1448","58649.0","82102.0","16.0","7957.125230475668","545485.0","","1.018291267871082","84000016.0","USA","30524.071592247623","","01-02-2021"
"136","Illinois","US","2021-01-03 05:30:33","40.3495","-88.9861","975352","18217","","957138.0","17.0","7697.015290856776","13436652.0","","1.8674283745765632","84000017.0","USA","106035.68342703072","","01-02-2021"
"137","Indiana","US","2021-01-03 05:30:33","39.8494","-86.2583","523090","9562","347401.0","167279.0","18.0","7769.949254473155","5769273.0","","1.6077539237989638","84000018.0","USA","85696.45461622684","","01-02-2021"
"138","Iowa","US","2021-01-03 05:30:33","42.0115","-93.2105","283895","3946","243214.0","36735.0","19.0","8998.057095405173","1175920.0","","1.3899505098716074","84000019.0","USA","37270.805402098835","","01-02-2021"
