"","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate","Date"
"1809","North Carolina","US","2020-05-11 02:32:34","35.6301","-79.8064","14938","564","","14374.0","37","150.61694163316236","192135","","3.7756058374615074","84000037","USA","1937.259745661243","","05-10-2020"
"1810","North Dakota","US","2020-05-11 02:32:34","47.5289","-99.78399999999999","1491","35","792","664.0","38","245.87001045483478","44869","110","2.347417840375587","84000038","USA","7399.021796846399","7.377598926894701","05-10-2020"
"1811","Northern Mariana Islands","US","2020-05-11 02:32:34","15.0979","145.6739","16","2","12","2.0","69","29.014942695488177","2337","","12.5","580","MNP","4237.995067459742","","05-10-2020"
"1812","Ohio","US","2020-05-11 02:32:34","40.3888","-82.7649","24081","1638","","22740.0","39","215.51191799431888","204862","4351","5.568705618537436","84000039","USA","1833.4040340580605","18.06818653710394","05-10-2020"
"1813","Oklahoma","US","2020-05-11 02:32:34","35.5653","-96.9289","4589","272","3204","1113.0","40","125.46361937799135","95968","826","5.927217258662018","84000040","USA","2623.772635534337","17.99956417520157","05-10-2020"
"1814","Oregon","US","2020-05-11 02:32:34","44.571999999999996","-122.0709","3228","127","1125","1976.0","41","80.55753400111902","75507","670","3.9343246592317223","84000041","USA","1884.3425402176251","20.755885997521684","05-10-2020"
"1815","Pennsylvania","US","2020-05-11 02:32:34","40.5908","-77.2098","59939","3806","","56133.0","42","476.17886224719655","284383","","6.349788952101303","84000042","USA","2259.2497936643003","","05-10-2020"
"1816","Puerto Rico","US","2020-05-11 02:32:34","18.2208","-66.5901","2198","111","","2087.0","72","74.92991087499591","2198","","5.050045495905368","630","PRI","74.92991087499591","","05-10-2020"
"1817","Rhode Island","US","2020-05-11 02:32:34","41.6809","-71.5118","11274","73","809","10043.0","44","1064.2264534941346","91213","1251","3.7431257761220507","84000044","USA","8610.190482753282","11.09632783395423","05-10-2020"
"1818","South Carolina","US","2020-05-11 02:32:34","33.8569","-80.945","7653","331","4120","3202.0","45","151.84599129956","84457","1252","4.325101267476806","84000045","USA","1675.7424391986071","16.359597543447013","05-10-2020"
"1819","South Dakota","US","2020-05-11 02:32:34","44.2998","-99.4388","3517","34","2147","1336.0","46","477.92339093236507","23894","261","0.9667330110889963","84000046","USA","3246.9438450207367","7.421097526300825","05-10-2020"
"1820","Tennessee","US","2020-05-11 02:32:34","35.7478","-86.6923","14985","243","7528","7214.0","47","228.25837111109655","261869","1325","1.6216216216216217","84000047","USA","3988.9083339667495","8.842175508842175","05-10-2020"
"1821","Texas","US","2020-05-11 02:32:34","31.0545","-97.5635","39807","1150","21022","17142.0","48","170.8016089582916","501776","","2.786693158082429","84000048","USA","2183.1002123555895","","05-10-2020"
"1822","Utah","US","2020-05-11 02:32:34","40.15","-111.8624","6251","67","3033","3151.0","49","218.11784295375733","146510","512","1.0718285074388099","84000049","USA","5112.213273261076","8.19068948968165","05-10-2020"
"1823","Vermont","US","2020-05-11 02:32:34","44.0459","-72.7107","927","53","777","97.0","50","151.8201218164041","20048","","5.717367853290184","84000050","USA","3283.376269876235","","05-10-2020"
"1824","Virgin Islands","US","2020-05-11 02:32:34","18.3358","-64.8963","69","4","59","6.0","78","64.32486855352948","1171","","5.797101449275362","850","VIR","1091.6582764664206","","05-10-2020"
"1825","Virginia","US","2020-05-11 02:32:34","37.7693","-78.17","24081","839","3201","20041.0","51","304.5440691620201","143055","4756","3.4840745816203644","84000051","USA","1809.167053443494","19.75001038162867","05-10-2020"
"1826","Washington","US","2020-05-11 02:32:34","47.4009","-121.4905","16891","968","","15960.0","53","223.73954602767927","242989","","5.511811023622047","84000053","USA","3218.651858961563","","05-10-2020"
"1827","West Virginia","US","2020-05-11 02:32:34","38.4912","-80.9545","1360","54","775","531.0","54","102.79682962483692","62644","","3.9705882352941178","84000054","USA","4735.003378689915","","05-10-2020"
"1828","Wisconsin","US","2020-05-11 02:32:34","44.2685","-89.6165","10219","400","5014","4805.0","55","197.4849702516402","115382","1820","3.914277326548586","84000055","USA","2229.7887109868625","17.809961835796067","05-10-2020"
"1829","Wyoming","US","2020-05-11 02:32:34","42.756","-107.3025","662","7","443","212.0","56","133.13490467379938","12064","65","1.0574018126888218","84000056","USA","2426.192583058483","9.818731117824774","05-10-2020"
"1830","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate","05-11-2020"
"1831","Alabama","US","2020-05-12 03:32:31","32.3182","-86.9023","10262","403","","9761.0","1","216.76739753507061","129444","1256","3.964974419519874","84000001","USA","2760.6492529053207","12.357339630066903","05-11-2020"
"1832","Alaska","US","2020-05-12 03:32:31","61.3707","-152.4044","379","10","328","41.0","2","63.40453936351211","28680","","2.638522427440633","84000002","USA","4798.0004985370115","","05-11-2020"
"1833","American Samoa","US","2020-05-12 03:32:31","-14.270999999999999","-170.132","0","0","","0.0","60","0.0","105","","","16","ASM","188.7097643823799","","05-11-2020"
"1834","Arizona","US","2020-05-12 03:32:31","33.7298","-111.4312","11383","542","2852","7989.0","4","156.38745124999366","150241","1537","4.761486427128173","84000004","USA","2064.1137716990506","13.502591583940964","05-11-2020"
"1835","Arkansas","US","2020-05-12 03:32:31","34.9697","-92.3731","4043","94","3149","800.0","5","156.15905125748012","69030","480","2.325006183527084","84000005","USA","2666.2526115023134","11.872372000989364","05-11-2020"
